player_league_season_id,playerId,playerName,requested_season,requested_level,requested_league_name,teamName,age,pitchesPerPlateAppearance,k_rate,iso,babip,sb_attempt_rate_log,ground_air_ratio_log,cluster,archetype_name
676203-2022-110,676203,Marcos Castañon,2022,Low-A,California League,Lake Elsinore Storm,23,4.103999999999999,0.2350674373795761,0.223,0.313,0.005763704716750081,0.6575200029167942,1,Strikeout-Prone Power Hitters
692585-2022-110,692585,Yanquiel Fernández,2022,Low-A,California League,Fresno Grizzlies,19,3.581,0.2179732313575526,0.223,0.32999999999999996,0.011406967793376481,0.8153648132841945,3,Power Hitters with Moderate Speed
687529-2022-110,687529,Grant McCray,2022,Low-A,California League,San Jose Giants,21,3.98,0.29191321499013806,0.234,0.391,0.08503704268591214,0.8878912573524571,3,Power Hitters with Moderate Speed
672596-2022-110,672596,Robert Perez Jr.,2022,Low-A,California League,Modesto Nuts,22,3.7230000000000003,0.26024096385542167,0.232,0.322,0.011976191046715693,0.6418538861723948,1,Strikeout-Prone Power Hitters
700337-2022-110,700337,Edgar Quero,2022,Low-A,California League,Inland Empire 66ers,19,3.9589999999999996,0.1766990291262136,0.21800000000000003,0.36,0.032476588677908244,0.7371640659767197,3,Power Hitters with Moderate Speed
691777-2022-110,691777,Max Muncy,2022,Low-A,California League,Stockton Ports,19,4.068,0.29863013698630136,0.21700000000000003,0.29800000000000004,0.029691789807403012,0.7227059828014898,1,Strikeout-Prone Power Hitters
678596-2022-110,678596,Yorlis Rodriguez,2022,Low-A,California League,San Jose Giants,22,3.3529999999999998,0.19825708061002179,0.167,0.29000000000000004,0.008676844025688921,0.5481214085096876,2,Swinging Early Contact Hitters
691182-2022-110,691182,Adael Amador,2022,Low-A,California League,Fresno Grizzlies,19,3.631,0.12072072072072072,0.15400000000000003,0.312,0.06622628525129094,0.9707789171582248,2,Swinging Early Contact Hitters
690924-2022-110,690924,Braxton Fulford,2022,Low-A,California League,Fresno Grizzlies,23,3.673,0.20909090909090908,0.18,0.316,0.03352269203864357,0.636576829071551,2,Swinging Early Contact Hitters
678577-2022-110,678577,Junior Perez,2022,Low-A,California League,Stockton Ports,20,4.106,0.3070539419087137,0.17600000000000002,0.347,0.07780592770276662,0.5538851132264376,3,Power Hitters with Moderate Speed
692348-2022-110,692348,Aeverson Arteaga,2022,Low-A,California League,San Jose Giants,19,3.9189999999999996,0.2743362831858407,0.161,0.362,0.02964471658499688,0.4824261492442927,3,Power Hitters with Moderate Speed
691285-2022-110,691285,Junior Franco,2022,Low-A,California League,Visalia Rawhide,19,3.795,0.25,0.15200000000000002,0.316,0.07729167430164655,0.8796267475025636,4,"Fast, Aggressive Contact Hitters "
682648-2022-110,682648,Juan Guerrero,2022,Low-A,California League,Fresno Grizzlies,20,3.583,0.16798418972332016,0.163,0.305,0.05010682005417884,0.6931471805599453,2,Swinging Early Contact Hitters
