season,league_name,level,league_id,qualified_hitters
2022,California League,Low-A,110,34
2022,Carolina League,Low-A,122,49
2022,Eastern League,Double-A,113,59
2022,Florida State League,Low-A,123,23
2022,International League,Triple-A,117,72
2022,Midwest League,High-A,118,52
2022,Northwest League,High-A,126,28
2022,Pacific Coast League,Triple-A,112,31
2022,South Atlantic League,High-A,116,54
2022,Southern League,Double-A,111,27
2022,Texas League,Double-A,109,49
2023,California League,Low-A,110,30
2023,Carolina League,Low-A,122,41
2023,Eastern League,Double-A,113,41
2023,Florida State League,Low-A,123,34
2023,International League,Triple-A,117,81
2023,Midwest League,High-A,118,63
2023,Northwest League,High-A,126,22
2023,Pacific Coast League,Triple-A,112,37
2023,South Atlantic League,High-A,116,56
2023,Southern League,Double-A,111,45
2023,Texas League,Double-A,109,54
2024,California League,Low-A,110,34
2024,Carolina League,Low-A,122,43
2024,Eastern League,Double-A,113,67
2024,Florida State League,Low-A,123,29
2024,International League,Triple-A,117,81
2024,Midwest League,High-A,118,58
2024,Northwest League,High-A,126,22
2024,Pacific Coast League,Triple-A,112,50
2024,South Atlantic League,High-A,116,46
2024,Southern League,Double-A,111,35
2024,Texas League,Double-A,109,53
2025,California League,Low-A,110,35
2025,Carolina League,Low-A,122,46
2025,Eastern League,Double-A,113,47
2025,Florida State League,Low-A,123,37
2025,International League,Triple-A,117,79
2025,Midwest League,High-A,118,56
2025,Northwest League,High-A,126,32
2025,Pacific Coast League,Triple-A,112,48
2025,South Atlantic League,High-A,116,45
2025,Southern League,Double-A,111,37
2025,Texas League,Double-A,109,54
