year,playerId,playerName,type,rank,playerFullName,playerFirstName,playerLastName,playerUseName,playerInitLastName,teamId,teamAbbrev,teamName,teamShortName,leagueName,leagueId,positionAbbrev,position,primaryPositionAbbrev,age,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,babip,extraBaseHits,hitByPitch,gidp,gidpOpp,numberOfPitches,pitchesPerPlateAppearance,walksPerPlateAppearance,strikeoutsPerPlateAppearance,homeRunsPerPlateAppearance,walksPerStrikeout,iso,reachedOnError,walkOffs,flyOuts,totalSwings,swingAndMisses,ballsInPlay,popOuts,lineOuts,groundOuts,flyHits,popHits,lineHits,groundHits,gamesPlayed,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,rbi,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,reqested_season,requested_league_id,requested_league,requested_level
2022,656484,Tristan Gray,player,1,Tristan Gray,Tristan,Gray,Tristan,T Gray,234,DUR,Durham Bulls,Bulls,INT,117,SS,Shortstop,SS,26,500,223,207,0,4,.259,54,8,5,58,1931,3.862,.060,.318,.066,.189,.262,5,1,67,1044,397,303,34,18,81,40,1,40,22,124,119,72,21,0,33,159,30,0,103,.225,458,.282,.487,.769,2,4,.667,.333,5,89,0.68,0,13.88,2022,117,International League,Triple-A
2022,623507,Josh Lester,player,2,Josh Lester,Joshua,Lester,Josh,J Lester,512,TOL,Toledo Mud Hens,Mud Hens,INT,117,1B,First Base,1B,27,621,267,256,0,7,.271,70,5,10,87,2361,3.802,.082,.221,.047,.372,.233,3,3,95,1238,375,427,35,22,138,50,0,59,28,145,152,84,39,2,29,137,51,3,137,.246,557,.311,.479,.790,3,7,.700,.300,10,99,0.91,1,19.21,2022,117,International League,Triple-A
2022,669742,Darick Hall,player,3,Darick Hall,Darick,Hall,Darick,D Hall,1410,LHV,Lehigh Valley IronPigs,IronPigs,INT,117,1B,First Base,1B,26,443,208,207,0,3,.268,52,4,14,78,1631,3.682,.095,.226,.063,.420,.274,2,1,54,821,234,297,24,8,111,39,0,39,22,101,86,59,24,0,28,100,42,4,100,.254,394,.330,.528,.858,1,6,.857,.143,14,88,1.29,0,14.07,2022,117,International League,Triple-A
2022,676551,Brewer Hicklen,player,3,Brewer Hicklen,Charles,Hicklen,Brewer,B Hicklen,541,OMA,Omaha Storm Chasers,Storm Chasers,INT,117,RF,Outfielder,RF,26,559,241,247,1,3,.360,62,17,7,57,2187,3.912,.104,.361,.050,.287,.254,2,1,59,969,378,282,26,8,70,39,0,44,36,130,93,85,30,4,28,202,58,1,119,.248,480,.348,.502,.850,2,35,.946,.054,7,85,0.75,0,17.14,2022,117,International League,Triple-A
2022,594953,Daniel Palka,player,5,Daniel Palka,Daniel,Palka,Daniel,D Palka,552,SYR,Syracuse Mets,Mets,INT,117,1B,First Base,LF,30,445,200,183,0,1,.294,44,1,8,60,1694,3.807,.108,.236,.058,.457,.243,4,0,49,804,228,291,26,3,109,31,0,40,33,109,78,68,18,0,26,105,48,1,104,.263,395,.344,.506,.850,2,0,.000,1.000,8,79,1.40,0,15.19,2022,117,International League,Triple-A
2022,592622,Mark Payton,player,6,Mark Payton,Mark,Payton,Mark,M Payton,494,CLT,Charlotte Knights,Knights,INT,117,CF,Outfielder,OF,30,539,254,153,2,6,.301,61,6,7,79,2051,3.805,.100,.141,.046,.711,.246,4,1,84,985,194,403,31,21,129,38,0,67,33,119,136,85,31,5,25,76,54,1,138,.293,471,.369,.539,.908,6,15,.714,.286,7,95,0.95,0,18.84,2022,117,International League,Triple-A
2022,572138,Jon Singleton,player,7,Jon Singleton,Jonathan,Singleton,Jon,J Singleton,556,NAS,Nashville Sounds,Sounds,INT,117,1B,First Base,1B,30,581,198,255,0,7,.273,48,1,5,64,2534,4.361,.201,.277,.041,.727,.215,2,0,71,1016,301,302,33,22,76,20,0,61,19,134,126,84,22,2,24,161,117,1,100,.219,456,.375,.434,.809,1,3,.750,.250,5,87,0.60,0,19.00,2022,117,International League,Triple-A
2022,668901,Mark Vientos,player,7,Mark Vientos,Mark,Vientos,Mark,M Vientos,552,SYR,Syracuse Mets,Mets,INT,117,3B,Third Base,1B,22,427,196,164,0,2,.350,41,3,15,62,1690,3.958,.103,.286,.056,.361,.238,7,0,41,804,265,258,9,3,99,37,0,39,30,101,53,66,16,1,24,122,44,2,106,.280,378,.358,.519,.877,2,0,.000,1.000,15,72,1.87,0,15.75,2022,117,International League,Triple-A
2022,663609,Luken Baker,player,9,Luken Baker,Luken,Baker,Luken,L Baker,235,MEM,Memphis Redbirds,Redbirds,INT,117,1B,First Base,1B,25,513,183,227,0,7,.265,35,5,10,61,1966,3.832,.072,.251,.041,.287,.166,2,0,73,986,293,342,36,24,103,21,5,58,22,124,133,52,14,0,21,129,37,0,106,.228,464,.288,.394,.682,0,0,.---,.---,10,66,0.77,0,22.10,2022,117,International League,Triple-A
2022,656024,Carlos Pérez,player,9,Carlos Pérez,Carlos,Pérez,Carlos,C Pérez,494,CLT,Charlotte Knights,Knights,INT,117,C,Catcher,C,25,465,188,186,0,6,.234,39,7,15,78,1655,3.559,.073,.086,.045,.850,.196,4,2,84,788,117,384,49,21,124,27,1,48,30,109,154,53,17,1,21,40,34,0,106,.254,418,.316,.450,.766,2,2,.500,.500,15,76,0.81,0,19.90,2022,117,International League,Triple-A
