player_league_season_id,playerId,playerName,requested_season,requested_level,requested_league_name,teamName,age,k,cluster
676203-2022-110,676203,Marcos Castañon,2022,Low-A,California League,Lake Elsinore Storm,23,4,1
692585-2022-110,692585,Yanquiel Fernández,2022,Low-A,California League,Fresno Grizzlies,19,4,3
687529-2022-110,687529,Grant McCray,2022,Low-A,California League,San Jose Giants,21,4,3
672596-2022-110,672596,Robert Perez Jr.,2022,Low-A,California League,Modesto Nuts,22,4,1
700337-2022-110,700337,Edgar Quero,2022,Low-A,California League,Inland Empire 66ers,19,4,3
691777-2022-110,691777,Max Muncy,2022,Low-A,California League,Stockton Ports,19,4,1
678596-2022-110,678596,Yorlis Rodriguez,2022,Low-A,California League,San Jose Giants,22,4,2
691182-2022-110,691182,Adael Amador,2022,Low-A,California League,Fresno Grizzlies,19,4,2
690924-2022-110,690924,Braxton Fulford,2022,Low-A,California League,Fresno Grizzlies,23,4,2
678577-2022-110,678577,Junior Perez,2022,Low-A,California League,Stockton Ports,20,4,3
692348-2022-110,692348,Aeverson Arteaga,2022,Low-A,California League,San Jose Giants,19,4,3
691285-2022-110,691285,Junior Franco,2022,Low-A,California League,Visalia Rawhide,19,4,4
682648-2022-110,682648,Juan Guerrero,2022,Low-A,California League,Fresno Grizzlies,20,4,2
695490-2022-110,695490,Edwin Arroyo,2022,Low-A,California League,Modesto Nuts,18,4,3
682729-2022-110,682729,Jonatan Clase,2022,Low-A,California League,Modesto Nuts,20,4,4
678832-2022-110,678832,Yunior Garcia,2022,Low-A,California League,Rancho Cucamonga Quakes,20,4,3
694808-2022-110,694808,Zach Kokoska,2022,Low-A,California League,Fresno Grizzlies,23,4,1
691269-2022-110,691269,Adrian Placencia,2022,Low-A,California League,Inland Empire 66ers,19,4,3
682674-2022-110,682674,Victor Bericoto,2022,Low-A,California League,San Jose Giants,20,4,3
701618-2022-110,701618,Damon Keith,2022,Low-A,California League,Rancho Cucamonga Quakes,22,4,3
682877-2022-110,682877,Juan Brito,2022,Low-A,California League,Fresno Grizzlies,20,4,1
668993-2022-110,668993,Justin Farmer,2022,Low-A,California League,Lake Elsinore Storm,23,4,1
695670-2022-110,695670,Harry Ford,2022,Low-A,California League,Modesto Nuts,19,4,3
691177-2022-110,691177,Luis Rodriguez,2022,Low-A,California League,Rancho Cucamonga Quakes,19,4,3
691558-2022-110,691558,Yeiner Fernandez,2022,Low-A,California League,Rancho Cucamonga Quakes,19,4,2
682643-2022-110,682643,Alexander Ramirez,2022,Low-A,California League,Inland Empire 66ers,19,4,3
683341-2022-110,683341,David Calabrese,2022,Low-A,California League,Inland Empire 66ers,19,4,4
702789-2022-110,702789,Austin Gauthier,2022,Low-A,California League,Rancho Cucamonga Quakes,23,4,3
672013-2022-110,672013,T.J. Schofield-Sam,2022,Low-A,California League,Stockton Ports,21,4,2
679751-2022-110,679751,Danny Bautista Jr.,2022,Low-A,California League,Stockton Ports,21,4,2
676004-2022-110,676004,Walking Cabrera,2022,Low-A,California League,Modesto Nuts,21,4,2
683102-2022-110,683102,Garrett Frechette,2022,Low-A,California League,San Jose Giants,21,4,2
691186-2022-110,691186,Arol Vera,2022,Low-A,California League,Inland Empire 66ers,19,4,4
691949-2022-110,691949,Jake Vogel,2022,Low-A,California League,Rancho Cucamonga Quakes,20,4,2
