cluster,player_records,k,cluster_percent
1,991,2,49.15674603174603
2,1025,2,50.84325396825397
1,759,3,37.648809523809526
2,567,3,28.125
3,690,3,34.226190476190474
1,601,4,29.811507936507937
2,555,4,27.529761904761905
3,481,4,23.859126984126984
4,379,4,18.799603174603174
1,516,5,25.595238095238095
2,412,5,20.436507936507937
3,444,5,22.023809523809522
4,218,5,10.813492063492063
5,426,5,21.13095238095238
1,369,6,18.303571428571427
2,375,6,18.601190476190478
3,394,6,19.543650793650794
4,181,6,8.978174603174603
5,301,6,14.930555555555555
6,396,6,19.642857142857142
1,311,7,15.426587301587302
2,296,7,14.682539682539684
3,322,7,15.972222222222221
4,341,7,16.91468253968254
5,249,7,12.351190476190476
6,185,7,9.1765873015873
7,312,7,15.476190476190476
1,294,8,14.583333333333334
2,301,8,14.930555555555555
3,270,8,13.392857142857142
4,207,8,10.267857142857142
5,215,8,10.66468253968254
6,281,8,13.938492063492063
7,148,8,7.341269841269842
8,300,8,14.880952380952381
1,279,9,13.839285714285715
2,284,9,14.087301587301587
3,277,9,13.740079365079366
4,189,9,9.375
5,208,9,10.317460317460316
6,248,9,12.3015873015873
7,220,9,10.912698412698413
8,120,9,5.952380952380952
9,191,9,9.474206349206348
1,190,10,9.424603174603174
2,235,10,11.656746031746032
3,209,10,10.367063492063492
4,232,10,11.507936507936508
5,263,10,13.045634920634921
6,148,10,7.341269841269842
7,223,10,11.061507936507937
8,234,10,11.607142857142858
9,149,10,7.390873015873016
10,133,10,6.597222222222222
