feature,extreme_type,playerName,requested_season,requested_level,value
bb_rate,Lowest,Bladimir Restituyo,2023,Double-A,0.017543859649122806
bb_rate,Lowest,Daniel Mateo,2023,High-A,0.01991150442477876
bb_rate,Lowest,Jesus Bugarin,2023,Low-A,0.023060796645702306
bb_rate,Lowest,Lorenzo Cedrola,2022,Triple-A,0.025793650793650792
bb_rate,Lowest,Bladimir Restituyo,2022,High-A,0.026004728132387706
bb_rate,Highest,Austin Gauthier,2022,Low-A,0.2216624685138539
bb_rate,Highest,Cristian Santana,2023,Low-A,0.2171837708830549
bb_rate,Highest,Anthony Garcia,2022,Low-A,0.21614583333333334
bb_rate,Highest,Isaiah Greene,2022,Low-A,0.20378151260504201
bb_rate,Highest,Nathan Flewelling,2025,Low-A,0.20273348519362186
k_rate,Lowest,William Bergolla Jr.,2025,Double-A,0.047186932849364795
k_rate,Lowest,Rhylan Thomas,2025,Triple-A,0.05177993527508091
k_rate,Lowest,Javier Sanoja,2024,Triple-A,0.06097560975609756
k_rate,Lowest,Xavier Edwards,2023,Triple-A,0.06928406466512702
k_rate,Lowest,Eliezer Alfonzo,2023,High-A,0.07088607594936709
k_rate,Highest,Elijah Green,2024,Low-A,0.44017094017094016
k_rate,Highest,Sebastian Espino,2022,Double-A,0.4368421052631579
k_rate,Highest,Jeremy Celedonio,2023,Low-A,0.4353932584269663
k_rate,Highest,Drake Logan,2023,Low-A,0.43513513513513513
k_rate,Highest,Wes Kath,2023,High-A,0.4318766066838046
iso,Lowest,Juan Baez,2025,High-A,0.023
iso,Lowest,Edgleen Perez,2025,Low-A,0.028
iso,Lowest,Bjay Cooke,2023,Low-A,0.032
iso,Lowest,Ty Southisene,2025,Low-A,0.032
iso,Lowest,Jeremy Rodriguez,2025,Low-A,0.033
iso,Highest,Jose Rojas,2025,Triple-A,0.312
iso,Highest,Luken Baker,2024,Triple-A,0.303
iso,Highest,Michael Busch,2023,Triple-A,0.29500000000000004
iso,Highest,Stone Garrett,2022,Triple-A,0.29300000000000004
iso,Highest,Justin Dirden,2022,Double-A,0.29200000000000004
babip,Lowest,Cristian Santana,2023,Low-A,0.194
babip,Lowest,Harvin Mendoza,2022,High-A,0.20700000000000002
babip,Lowest,Nicholas Northcut,2024,Double-A,0.20700000000000002
babip,Lowest,Wilber Sanchez,2022,Low-A,0.21300000000000002
babip,Lowest,Diego Cartaya,2023,Double-A,0.21600000000000003
babip,Highest,Shane Sasaki,2022,Low-A,0.41500000000000004
babip,Highest,Connor Hollis,2022,Double-A,0.41300000000000003
babip,Highest,Drake Logan,2023,Low-A,0.40900000000000003
babip,Highest,Owen Caissie,2023,Double-A,0.40700000000000003
babip,Highest,Kyle Henley,2025,Low-A,0.40700000000000003
pitchesPerPlateAppearance,Lowest,Bladimir Restituyo,2023,Double-A,3.064
pitchesPerPlateAppearance,Lowest,Andy Perez,2025,High-A,3.101
pitchesPerPlateAppearance,Lowest,Euribiel Angeles,2023,High-A,3.113
pitchesPerPlateAppearance,Lowest,Bladimir Restituyo,2024,Double-A,3.131
pitchesPerPlateAppearance,Lowest,Andy Perez,2023,Low-A,3.135
pitchesPerPlateAppearance,Highest,Marcus Smith,2022,Low-A,4.659999999999999
pitchesPerPlateAppearance,Highest,John Andreoli,2022,Triple-A,4.582
pitchesPerPlateAppearance,Highest,Michael Turner,2023,High-A,4.531000000000001
pitchesPerPlateAppearance,Highest,Aaron Zavala,2023,Double-A,4.528
pitchesPerPlateAppearance,Highest,Anthony Garcia,2022,Low-A,4.5
swing_miss_rate,Lowest,William Bergolla Jr.,2025,Double-A,0.0664451827242525
swing_miss_rate,Lowest,Michael Stefanic,2023,Triple-A,0.06686478454680535
swing_miss_rate,Lowest,Michael Stefanic,2025,Triple-A,0.08166666666666667
swing_miss_rate,Lowest,Javi Vaz,2023,High-A,0.08860759493670886
swing_miss_rate,Lowest,Javier Sanoja,2024,Triple-A,0.09344660194174757
swing_miss_rate,Highest,Jeremy Celedonio,2023,Low-A,0.5071315372424723
swing_miss_rate,Highest,Wes Kath,2023,High-A,0.4821002386634845
swing_miss_rate,Highest,Elijah Green,2024,Low-A,0.4751693002257336
swing_miss_rate,Highest,Sebastian Espino,2022,Double-A,0.46824408468244083
swing_miss_rate,Highest,Andrew Daschbach,2022,Double-A,0.4573643410852713
hr_rate,Lowest,Juan Fernandez,2022,Double-A,0
hr_rate,Lowest,Chandler Simpson,2023,Low-A,0
hr_rate,Lowest,Viandel Pena,2023,High-A,0
hr_rate,Lowest,Adrian Santana,2024,Low-A,0
hr_rate,Lowest,Cortland Lawson,2024,Double-A,0
hr_rate,Highest,Luken Baker,2024,Triple-A,0.07079646017699115
hr_rate,Highest,Bob Seymour,2025,Triple-A,0.06772009029345373
hr_rate,Highest,Bobby Dalbec,2023,Triple-A,0.06693711967545639
hr_rate,Highest,Tristan Gray,2022,Triple-A,0.066
hr_rate,Highest,Yunior Severino,2023,Double-A,0.064
xbh_rate,Lowest,Juan Baez,2025,High-A,0.01809954751131222
xbh_rate,Lowest,Jeremy Rodriguez,2025,Low-A,0.02032520325203252
xbh_rate,Lowest,Ty Southisene,2025,Low-A,0.02056555269922879
xbh_rate,Lowest,Rikuu Nishida,2025,Double-A,0.021912350597609563
xbh_rate,Lowest,Edgleen Perez,2025,Low-A,0.022026431718061675
xbh_rate,Highest,Justin Dirden,2022,Double-A,0.14004914004914004
xbh_rate,Highest,Jose Rojas,2025,Triple-A,0.13733075435203096
xbh_rate,Highest,Adrian Del Castillo,2024,Triple-A,0.1371308016877637
xbh_rate,Highest,Felix Reyes,2025,Double-A,0.1341772151898734
xbh_rate,Highest,Sam Hilliard,2025,Triple-A,0.13043478260869565
sb_attempt_rate,Lowest,Aldrem Corredor,2022,Double-A,0
sb_attempt_rate,Lowest,Jeremy Vasquez,2022,Double-A,0
sb_attempt_rate,Lowest,Rainer Nunez,2022,Low-A,0
sb_attempt_rate,Lowest,William Lugo,2022,Low-A,0
sb_attempt_rate,Lowest,Luken Baker,2022,Triple-A,0
sb_attempt_rate,Highest,Kendall George,2025,High-A,0.24124513618677043
sb_attempt_rate,Highest,Chandler Simpson,2023,Low-A,0.23425692695214106
sb_attempt_rate,Highest,Asbel Gonzalez,2025,Low-A,0.20594059405940593
sb_attempt_rate,Highest,Johnathon Thomas,2023,Low-A,0.2
sb_attempt_rate,Highest,Yhoswar Garcia,2024,Low-A,0.19796954314720813
groundOutsToAirouts,Lowest,Cristian Santana,2023,Low-A,0.25
groundOutsToAirouts,Lowest,Jorge Bonifacio,2022,Triple-A,0.36
groundOutsToAirouts,Lowest,Jorge Bonifacio,2023,Double-A,0.38
groundOutsToAirouts,Lowest,Cristian Santana,2025,Low-A,0.38
groundOutsToAirouts,Lowest,Jackson Cluff,2022,Double-A,0.39
groundOutsToAirouts,Highest,Henry Bolte,2023,Low-A,3
groundOutsToAirouts,Highest,Hendry Mendez,2022,Low-A,2.56
groundOutsToAirouts,Highest,Nelson Rada,2023,Low-A,2.4099999999999997
groundOutsToAirouts,Highest,Kyle Henley,2025,Low-A,2.3299999999999996
groundOutsToAirouts,Highest,Druw Jones,2024,Low-A,2.27
