feature,missing_count,missing_percent,unique_values,minimum,maximum
bb_rate,0,0,1728,0.017543859649122806,0.2216624685138539
k_rate,0,0,1863,0.047186932849364795,0.44017094017094016
iso,0,0,252,0.023,0.312
babip,0,0,184,0.194,0.41500000000000004
pitchesPerPlateAppearance,0,0,802,3.064,4.659999999999999
swing_miss_rate,0,0,1972,0.0664451827242525,0.5071315372424723
hr_rate,0,0,1526,0,0.07079646017699115
xbh_rate,0,0,1604,0.01809954751131222,0.14004914004914004
sb_attempt_rate,0,0,1683,0,0.24124513618677043
groundOutsToAirouts,0,0,170,0.25,3
