player_league_season_id,playerId,playerName,requested_season,requested_level,requested_league_name,teamName,age,cluster,silhouette_width
676203-2022-110,676203,Marcos Castañon,2022,Low-A,California League,Lake Elsinore Storm,23,1,0.132769019694457
692585-2022-110,692585,Yanquiel Fernández,2022,Low-A,California League,Fresno Grizzlies,19,3,0.007985661016936279
687529-2022-110,687529,Grant McCray,2022,Low-A,California League,San Jose Giants,21,3,0.1946636382507542
672596-2022-110,672596,Robert Perez Jr.,2022,Low-A,California League,Modesto Nuts,22,1,0.06615176300901607
700337-2022-110,700337,Edgar Quero,2022,Low-A,California League,Inland Empire 66ers,19,3,0.18004654434517675
691777-2022-110,691777,Max Muncy,2022,Low-A,California League,Stockton Ports,19,1,0.10799323274624081
678596-2022-110,678596,Yorlis Rodriguez,2022,Low-A,California League,San Jose Giants,22,2,0.21228766190116888
691182-2022-110,691182,Adael Amador,2022,Low-A,California League,Fresno Grizzlies,19,2,0.11690238771341045
690924-2022-110,690924,Braxton Fulford,2022,Low-A,California League,Fresno Grizzlies,23,2,0.11899208769969336
678577-2022-110,678577,Junior Perez,2022,Low-A,California League,Stockton Ports,20,3,0.0034527013187470993
692348-2022-110,692348,Aeverson Arteaga,2022,Low-A,California League,San Jose Giants,19,3,0.009052414047553402
691285-2022-110,691285,Junior Franco,2022,Low-A,California League,Visalia Rawhide,19,4,0.08257846823769609
682648-2022-110,682648,Juan Guerrero,2022,Low-A,California League,Fresno Grizzlies,20,2,0.29502563055256625
695490-2022-110,695490,Edwin Arroyo,2022,Low-A,California League,Modesto Nuts,18,3,0.10898376555795282
682729-2022-110,682729,Jonatan Clase,2022,Low-A,California League,Modesto Nuts,20,4,0.13146140511410634
678832-2022-110,678832,Yunior Garcia,2022,Low-A,California League,Rancho Cucamonga Quakes,20,3,0.050683508849865805
694808-2022-110,694808,Zach Kokoska,2022,Low-A,California League,Fresno Grizzlies,23,1,0.047473243480079794
691269-2022-110,691269,Adrian Placencia,2022,Low-A,California League,Inland Empire 66ers,19,3,0.2003298024378208
682674-2022-110,682674,Victor Bericoto,2022,Low-A,California League,San Jose Giants,20,3,0.037617525360552184
701618-2022-110,701618,Damon Keith,2022,Low-A,California League,Rancho Cucamonga Quakes,22,3,0.3359441497670817
682877-2022-110,682877,Juan Brito,2022,Low-A,California League,Fresno Grizzlies,20,1,0.005881582194113156
668993-2022-110,668993,Justin Farmer,2022,Low-A,California League,Lake Elsinore Storm,23,1,0.04662483273691511
695670-2022-110,695670,Harry Ford,2022,Low-A,California League,Modesto Nuts,19,3,0.21153021306083636
691177-2022-110,691177,Luis Rodriguez,2022,Low-A,California League,Rancho Cucamonga Quakes,19,3,0.30450462876731405
