feature,bb_rate,k_rate,iso,babip,pitchesPerPlateAppearance,swing_miss_rate,hr_rate,xbh_rate,sb_attempt_rate,groundOutsToAirouts
bb_rate,0.9999999999999998,0.0643858216698116,0.07098181515273166,0.05521885205821187,0.7081603706945142,-0.029925258000450233,0.005916411394229178,-0.07539899579961457,0.06012894615992365,-0.06446190422964833
k_rate,0.0643858216698116,1,0.2636326643106002,0.14623847226388526,0.3760610714763919,0.9013353627820272,0.3172220163685156,0.1488360891580554,-0.030756048960570388,-0.09731526208194143
iso,0.07098181515273166,0.2636326643106002,1,0.10619391937695784,0.20156668475096093,0.3076755737616489,0.9397752265551834,0.9230687105449836,-0.2674826241337374,-0.2659355437958982
babip,0.05521885205821187,0.14623847226388526,0.10619391937695784,1,0.05909616084287532,0.126860902527152,-0.025535882667040034,0.2103894692684957,0.1552521558157646,0.32853973507844975
pitchesPerPlateAppearance,0.7081603706945142,0.3760610714763919,0.20156668475096093,0.05909616084287532,1,0.1787031143392429,0.1909346504005774,0.053721065882836226,-0.054445476861495055,-0.11699562291679462
swing_miss_rate,-0.029925258000450233,0.9013353627820272,0.3076755737616489,0.126860902527152,0.1787031143392429,1,0.3621085886996143,0.20706608674384874,-0.04814650473959554,-0.06499999608584361
hr_rate,0.005916411394229178,0.3172220163685156,0.9397752265551834,-0.025535882667040034,0.1909346504005774,0.3621085886996143,1,0.7779656896380183,-0.3127415833108073,-0.25507540403159673
xbh_rate,-0.07539899579961457,0.1488360891580554,0.9230687105449836,0.2103894692684957,0.053721065882836226,0.20706608674384874,0.7779656896380183,1,-0.26670928541964645,-0.22617904912065656
sb_attempt_rate,0.06012894615992365,-0.030756048960570388,-0.2674826241337374,0.1552521558157646,-0.054445476861495055,-0.04814650473959554,-0.3127415833108073,-0.26670928541964645,1,0.08954254699414689
groundOutsToAirouts,-0.06446190422964833,-0.09731526208194143,-0.2659355437958982,0.32853973507844975,-0.11699562291679462,-0.06499999608584361,-0.25507540403159673,-0.22617904912065656,0.08954254699414689,1
