feature,lower_bound,upper_bound,outlier_count,outlier_percent
bb_rate,0.0182652958844787,0.1953159024344189,15,0.744047619047619
k_rate,0.07088253485302501,0.3934696954123892,19,0.9424603174603174
iso,0.00700000000000002,0.287,10,0.496031746031746
babip,0.21350000000000013,0.40949999999999986,6,0.2976190476190476
pitchesPerPlateAppearance,3.278250000000001,4.4762499999999985,24,1.1904761904761905
swing_miss_rate,0.10427931804365193,0.44644029626388765,12,0.5952380952380952
hr_rate,-0.015006960868179606,0.062337509854241094,12,0.5952380952380952
xbh_rate,0.020636732495270545,0.12722160745737737,9,0.4464285714285714
sb_attempt_rate,-0.05019797781111503,0.1324884549331145,42,2.083333333333333
groundOutsToAirouts,0.18499999999999983,1.7450000000000003,47,2.3313492063492065
