feature,mean,sd,median,min,max
bb_rate,0.10737119791644566,0.03227575161987251,0.10526044559472753,0.017543859649122806,0.2216624685138539
k_rate,0.2330507508778894,0.061101644057466833,0.23019235619139328,0.047186932849364795,0.44017094017094016
iso,0.14793799603174604,0.05065977231266635,0.14600000000000002,0.023,0.312
babip,0.31172916666666667,0.0348962739839837,0.312,0.194,0.41500000000000004
pitchesPerPlateAppearance,3.873783234126984,0.22505354011274123,3.8819999999999997,3.064,4.659999999999999
swing_miss_rate,0.27595744289781066,0.06351775159802756,0.27646111890208,0.0664451827242525,0.5071315372424723
hr_rate,0.024381261169337157,0.013414776548094013,0.023516842634489693,0,0.07079646017699115
xbh_rate,0.07361844660323541,0.019562665621748566,0.07329842931937172,0.01809954751131222,0.14004914004914004
sb_attempt_rate,0.04540452253030245,0.03408055104274955,0.03941307403148473,0,0.24124513618677043
groundOutsToAirouts,0.9927579365079365,0.30815167052307485,0.9550000000000001,0.25,3
