column_number,column_name,data_type,missing_count,unique_values
1,year,character,0,4
2,playerId,integer,0,1339
3,playerName,character,0,1335
4,type,character,0,1
5,rank,integer,0,80
6,playerFullName,character,0,1335
7,playerFirstName,character,0,665
8,playerLastName,character,0,1027
9,playerUseName,character,0,718
10,playerInitLastName,character,0,1295
11,teamId,integer,0,122
12,teamAbbrev,character,0,123
13,teamName,character,0,128
14,teamShortName,character,0,120
15,leagueName,character,0,11
16,leagueId,integer,0,11
17,positionAbbrev,character,0,9
18,position,character,0,7
19,primaryPositionAbbrev,character,0,12
20,age,integer,0,18
21,plateAppearances,integer,0,249
22,totalBases,integer,0,179
23,leftOnBase,integer,0,174
24,sacBunts,integer,0,19
25,sacFlies,integer,0,15
26,babip,character,0,184
27,extraBaseHits,integer,0,62
28,hitByPitch,integer,0,32
29,gidp,integer,0,25
30,gidpOpp,integer,0,83
31,numberOfPitches,integer,0,845
32,pitchesPerPlateAppearance,character,0,802
33,walksPerPlateAppearance,character,0,175
34,strikeoutsPerPlateAppearance,character,0,305
35,homeRunsPerPlateAppearance,character,0,68
36,walksPerStrikeout,character,0,682
37,iso,character,0,252
38,reachedOnError,integer,0,19
39,walkOffs,integer,0,5
40,flyOuts,integer,0,86
41,totalSwings,integer,0,516
42,swingAndMisses,integer,0,314
43,ballsInPlay,integer,0,252
44,popOuts,integer,0,55
45,lineOuts,integer,0,46
46,groundOuts,integer,0,133
47,flyHits,integer,0,48
48,popHits,integer,0,6
49,lineHits,integer,0,68
50,groundHits,integer,0,66
51,gamesPlayed,integer,0,68
52,airOuts,integer,0,129
53,runs,integer,0,85
54,doubles,integer,0,39
55,triples,integer,0,15
56,homeRuns,integer,0,35
57,strikeOuts,integer,0,159
58,baseOnBalls,integer,0,92
59,intentionalWalks,integer,0,6
60,hits,integer,0,105
61,avg,character,0,168
62,atBats,integer,0,246
63,obp,character,0,186
64,slg,character,0,308
65,ops,character,0,397
66,caughtStealing,integer,0,22
67,stolenBases,integer,0,69
68,stolenBasePercentage,character,0,250
69,caughtStealingPercentage,character,0,250
70,groundIntoDoublePlay,integer,0,25
71,rbi,integer,0,87
72,groundOutsToAirouts,character,0,170
73,catchersInterference,integer,0,10
74,atBatsPerHomeRun,character,0,1397
75,requested_season,integer,0,4
76,requested_league_id,numeric,0,11
77,requested_league_name,character,0,11
78,requested_level,character,0,4
